inn,year,revenue,clear_profit,taxes,interest,ebit
5038038838,2024,112540.0,-20129.0,-191.0,1521.0,-18799.0
5038038838,2023,108966.0,-20913.0,-248.0,3334.0,-17827.0
5038038838,2022,118633.0,19518.0,-336.0,141.0,19323.0
5038038838,2021,184044.0,3080.0,-320.0,5601.0,8361.0
5027064258,2024,930280.0,3594.0,-2629.0,0.0,965.0
5027064258,2023,594302.0,454.0,-6139.0,0.0,-5685.0
5027064258,2022,253804.0,2339.0,-729.0,0.0,1610.0
5027064258,2021,249375.0,3984.0,-737.0,0.0,3247.0
5027006369,2024,429496.0,28998.0,-8184.0,705.0,21519.0
5027006369,2023,1565001.0,582441.0,-145629.0,1946.0,438758.0
5027006369,2022,683396.0,31442.0,-8568.0,2791.0,25665.0
5027006369,2021,584219.0,20376.0,-5463.0,0.0,14913.0
7701651356,2024,255230.0,113.0,94.0,210634.0,210841.0
7701651356,2023,74252.0,-2777.0,277.0,2487.0,-13.0
7701651356,2022,85623.0,1562.0,-750.0,950.0,1762.0
7701651356,2021,64999.0,-4706.0,872.0,21172.0,17338.0
1414006922,2024,1107569.0,54850.0,-16937.0,0.0,37913.0
1414006922,2023,1002486.0,19889.0,-8624.0,0.0,11265.0
1414006922,2022,938983.0,3375.0,-3933.0,0.0,-558.0
1414006922,2021,685315.0,2092.0,-5820.0,0.0,-3728.0
3327332190,2024,1297470.0,47723.0,-13461.0,0.0,34262.0
3327332190,2023,1031417.0,40101.0,-10025.0,0.0,30076.0
3327332190,2022,458713.0,30374.0,-7693.0,0.0,22681.0
3327332190,2021,584483.0,20565.0,-5560.0,0.0,15005.0
7816061297,2024,782668.0,11674.0,2975.0,0.0,14649.0
7816061297,2023,116186.0,565.0,141.0,0.0,706.0
7816061297,2022,61921.0,444.0,-121.0,9.0,332.0
7816061297,2021,179874.0,1077.0,-308.0,0.0,769.0
3525048992,2024,1230865.0,29550.0,-47407.0,27152.0,9295.0
3525048992,2023,1838703.0,183854.0,-58616.0,1060.0,126298.0
3525048992,2022,332866.0,10568.0,-1665.0,2522.0,11425.0
3525048992,2021,174460.0,9611.0,-5381.0,1680.0,5910.0
2515000365,2024,176464.0,619.0,0.0,1481.0,2100.0
2515000365,2023,191358.0,139.0,0.0,2834.0,2973.0
2515000365,2022,210423.0,33698.0,-10336.0,1004.0,24366.0
2515000365,2021,109061.0,62.0,-3486.0,543.0,-2881.0
3101000612,2024,90288.0,-21506.0,-687.0,0.0,-22193.0
3101000612,2023,120415.0,-15367.0,0.0,0.0,-15367.0
3101000612,2022,11618.0,-13022.0,0.0,0.0,-13022.0
3101000612,2021,10052.0,-3050.0,-14.0,0.0,-3064.0
5902126804,2024,145548.0,21635.0,591.0,3017.0,25243.0
5902126804,2023,67038.0,346.0,-694.0,1087.0,739.0
5902126804,2022,52842.0,4885.0,-386.0,14.0,4513.0
5902126804,2021,43676.0,10564.0,-485.0,5.0,10084.0
523005733,2024,91703.0,2028.0,-290.0,0.0,1738.0
523005733,2023,29865.0,1102.0,184.0,0.0,1286.0
523005733,2022,188416.0,1539.0,-385.0,0.0,1154.0
523005733,2021,64542.0,422.0,-105.0,0.0,317.0
7724745755,2024,1871289.0,89807.0,-22688.0,30226.0,97345.0
7724745755,2023,1129443.0,28092.0,-9942.0,7445.0,25595.0
7724745755,2022,293310.0,23975.0,-7171.0,220.0,17024.0
7724745755,2021,257980.0,342.0,-3577.0,0.0,-3235.0
504007693,2024,14446.0,190.0,-220.0,0.0,-30.0
504007693,2023,546027.0,228.0,53.0,0.0,281.0
504007693,2022,17729.0,833.0,-208.0,0.0,625.0
504007693,2021,33431.0,240.0,-565.0,0.0,-325.0
2901030646,2024,10902.0,-10419.0,2990.0,1961.0,-5468.0
2901030646,2023,750704.0,-46946.0,-52.0,8858.0,-38140.0
2901030646,2022,1801626.0,-258499.0,63090.0,14878.0,-180531.0
2901030646,2021,1030543.0,3199.0,-6717.0,8328.0,4810.0
7709008852,2024,181368.0,-96249.0,0.0,26904.0,-69345.0
7709008852,2023,1152402.0,1069.0,-4185.0,64360.0,61244.0
7709008852,2022,975011.0,20757.0,-9025.0,1391.0,13123.0
7709008852,2021,2869295.0,20134.0,-5000.0,1001.0,16135.0
3811167535,2024,336907.0,12084.0,-2013.0,850.0,10921.0
3811167535,2023,354342.0,-104.0,-260.0,964.0,600.0
3811167535,2022,259740.0,1372.0,-851.0,1878.0,2399.0
3811167535,2021,394243.0,1539.0,-1248.0,2001.0,2292.0
7810255553,2024,2929335.0,451984.0,-121303.0,0.0,330681.0
7810255553,2023,316038.0,37644.0,-11647.0,14.0,26011.0
7810255553,2022,58676.0,-5800.0,-996.0,0.0,-6796.0
7810255553,2021,117439.0,3076.0,-5224.0,0.0,-2148.0
1011005108,2024,101840.0,-4452.0,0.0,0.0,-4452.0
1011005108,2023,95063.0,-419.0,0.0,0.0,-419.0
1011005108,2022,96815.0,109.0,0.0,0.0,109.0
1011005108,2021,111822.0,7354.0,0.0,0.0,7354.0
5445005958,2024,1441378.0,182117.0,-34117.0,7622.0,155622.0
5445005958,2023,3135029.0,183205.0,-47052.0,8531.0,144684.0
5445005958,2022,1593147.0,7685.0,-11379.0,10405.0,6711.0
5445005958,2021,1881629.0,51586.0,-4286.0,2530.0,49830.0
2310111297,2024,165862.0,-133852.0,54312.0,179349.0,99809.0
2310111297,2023,211510.0,-81156.0,20046.0,82507.0,21397.0
2310111297,2022,15542.0,-81510.0,19768.0,93968.0,32226.0
2310111297,2021,363535.0,10834.0,-3090.0,71472.0,79216.0
3250057750,2024,0.0,-20009.0,-4.0,0.0,-20013.0
3250057750,2023,6646.0,47789.0,-107.0,0.0,47682.0
3250057750,2022,26456.0,-40750.0,-1855.0,0.0,-42605.0
3250057750,2021,3423.0,-950.0,0.0,0.0,-950.0
2624022344,2024,49246.0,72982.0,-6658.0,0.0,66324.0
2624022344,2023,23199.0,167.0,-750.0,0.0,-583.0
2624022344,2022,10362.0,-151.0,0.0,0.0,-151.0
2624022344,2021,61607.0,-9727.0,0.0,0.0,-9727.0
7703595570,2024,1166238.0,85274.0,-21476.0,533.0,64331.0
7703595570,2023,428084.0,15731.0,-2127.0,0.0,13604.0
7703595570,2022,1258495.0,169397.0,-60454.0,0.0,108943.0
7703595570,2021,1043523.0,178954.0,-45086.0,0.0,133868.0
7813059155,2021,0.0,0.0,0.0,0.0,0.0
7743373485,2024,144265.0,-1719.0,-701.0,3235.0,815.0
7743373485,2023,69256.0,-6528.0,710.0,4626.0,-1192.0
7743373485,2022,199800.0,1219.0,2006.0,878.0,4103.0
3328412522,2024,1123733.0,87035.0,-22345.0,499.0,65189.0
3328412522,2023,593130.0,25011.0,-6336.0,874.0,19549.0
3328412522,2022,249303.0,15432.0,-3802.0,1070.0,12700.0
3328412522,2021,158481.0,3496.0,-940.0,0.0,2556.0
7728135831,2024,539380.0,-3190.0,-3066.0,0.0,-6256.0
7728135831,2023,1180035.0,57848.0,-13921.0,0.0,43927.0
7728135831,2022,587933.0,7773.0,-1943.0,0.0,5830.0
7728135831,2021,406098.0,10186.0,-1328.0,0.0,8858.0
3664004054,2024,215490.0,11228.0,-2818.0,2382.0,10792.0
3664004054,2023,232773.0,10109.0,-2530.0,1961.0,9540.0
3664004054,2022,189362.0,17573.0,-4411.0,0.0,13162.0
3664004054,2021,142942.0,1574.0,-397.0,0.0,1177.0
2465006513,2025,54883.0,3030.0,-1334.0,0.0,1696.0
2465006513,2024,61417.0,6826.0,-1946.0,0.0,4880.0
2465006513,2023,82129.0,4837.0,-1137.0,33.0,3733.0
2465006513,2022,64565.0,5275.0,-1731.0,0.0,3544.0
2465006513,2021,76412.0,3068.0,-649.0,312.0,2731.0
5902115094,2024,88109.0,800.0,-71.0,0.0,729.0
5902115094,2023,112635.0,57.0,0.0,0.0,57.0
5902115094,2022,165505.0,1810.0,-454.0,0.0,1356.0
5902115094,2021,97279.0,4878.0,-237.0,15.0,4656.0
2539030721,2024,298305.0,9558.0,-1622.0,0.0,7936.0
2539030721,2023,132133.0,-3069.0,0.0,0.0,-3069.0
2539030721,2021,338042.0,457.0,-118.0,36.0,375.0
2539030721,2022,364002.0,183.0,-83.0,0.0,100.0
7704697207,2024,2.0,-8989.0,0.0,0.0,-8989.0
7704697207,2023,0.0,-201552.0,0.0,0.0,-201552.0
7704697207,2022,0.0,0.0,0.0,0.0,0.0
7704697207,2021,99755.0,-115065.0,0.0,0.0,-115065.0
5000000218,2024,129159.0,-19403.0,-11.0,0.0,-19414.0
5000000218,2023,59414.0,757.0,-265.0,0.0,492.0
5000000218,2022,136519.0,2443.0,-1007.0,0.0,1436.0
5000000218,2021,508680.0,16630.0,-8278.0,0.0,8352.0
6731010189,2024,27115.0,-33795.0,0.0,0.0,-33795.0
6731010189,2023,23332.0,832.0,0.0,0.0,832.0
6731010189,2022,52547.0,1077.0,-614.0,0.0,463.0
6731010189,2021,47954.0,4423.0,0.0,0.0,4423.0
5044125655,2024,3337029.0,73880.0,-13556.0,1711.0,62035.0
5044125655,2023,3724263.0,50400.0,-9442.0,1297.0,42255.0
5044125655,2022,1943311.0,84877.0,-24623.0,0.0,60254.0
541001957,2024,160774.0,472.0,-212.0,0.0,260.0
541001957,2023,420870.0,1306.0,-593.0,0.0,713.0
541001957,2022,343903.0,841.0,-341.0,0.0,500.0
541001957,2021,748898.0,1005.0,-349.0,0.0,656.0
7743356592,2022,193778.0,13.0,-3.0,0.0,10.0
7743356592,2021,2071.0,6.0,-2.0,0.0,4.0
2508045333,2024,48889.0,-10971.0,0.0,0.0,-10971.0
2508045333,2023,55704.0,-13662.0,0.0,0.0,-13662.0
2508045333,2022,34425.0,-21347.0,0.0,0.0,-21347.0
2508045333,2021,125292.0,23633.0,-6639.0,0.0,16994.0
7702066809,2024,139562.0,8573.0,-2131.0,0.0,6442.0
7702066809,2023,67046.0,-2680.0,-4.0,381.0,-2303.0
7702066809,2022,23457.0,-1358.0,-318.0,113.0,-1563.0
